"region_level_2","level_2_region_code","region_level_1","level_1_region_code","region_level_1_en","region_level_2_type"
"Alytaus m. sav.","LT-02","Alytaus apskritis","LT-AL","Alytus County","city municipality"
"Alytaus r. sav.","LT-03","Alytaus apskritis","LT-AL","Alytus County","district municipality"
"Druskininkų sav.","LT-07","Alytaus apskritis","LT-AL","Alytus County","municipality"
"Lazdijų r. sav.","LT-24","Alytaus apskritis","LT-AL","Alytus County","district municipality"
"Varėnos r. sav.","LT-55","Alytaus apskritis","LT-AL","Alytus County","district municipality"
"Birštono sav.","LT-05","Kauno apskritis","LT-KU","Kaunas County","municipality"
"Jonavos r. sav.","LT-10","Kauno apskritis","LT-KU","Kaunas County","district municipality"
"Kaišiadorių r. sav.","LT-13","Kauno apskritis","LT-KU","Kaunas County","district municipality"
"Kauno r. sav.","LT-16","Kauno apskritis","LT-KU","Kaunas County","district municipality"
"Kauno m. sav.","LT-15","Kauno apskritis","LT-KU","Kaunas County","city municipality"
"Kėdainių r. sav.","LT-18","Kauno apskritis","LT-KU","Kaunas County","district municipality"
"Prienų r. sav.","LT-36","Kauno apskritis","LT-KU","Kaunas County","district municipality"
"Raseinių r. sav.","LT-38","Kauno apskritis","LT-KU","Kaunas County","district municipality"
"Klaipėdos r. sav.","LT-21","Klaipėdos apskritis","LT-KL","Klaipėda County","district municipality"
"Klaipėdos m. sav.","LT-20","Klaipėdos apskritis","LT-KL","Klaipėda County","city municipality"
"Kretingos r. sav.","LT-22","Klaipėdos apskritis","LT-KL","Klaipėda County","district municipality"
"Neringos sav.","LT-28","Klaipėdos apskritis","LT-KL","Klaipėda County","municipality"
"Palangos m. sav.","LT-31","Klaipėdos apskritis","LT-KL","Klaipėda County","city municipality"
"Šilutės r. sav.","LT-46","Klaipėdos apskritis","LT-KL","Klaipėda County","district municipality"
"Skuodo r. sav.","LT-48","Klaipėdos apskritis","LT-KL","Klaipėda County","district municipality"
"Kalvarijos sav.","LT-14","Marijampolės apskritis","LT-MR","Marijampolė County","municipality"
"Kazlų Rūdos sav.","LT-17","Marijampolės apskritis","LT-MR","Marijampolė County","municipality"
"Marijampolės sav.","LT-25","Marijampolės apskritis","LT-MR","Marijampolė County","district municipality"
"Šakių r. sav.","LT-41","Marijampolės apskritis","LT-MR","Marijampolė County","district municipality"
"Vilkaviškio r. sav.","LT-56","Marijampolės apskritis","LT-MR","Marijampolė County","district municipality"
"Biržų r. sav.","LT-06","Panevėžio apskritis","LT-PN","Panevėžys County","district municipality"
"Kupiškio r. sav.","LT-23","Panevėžio apskritis","LT-PN","Panevėžys County","district municipality"
"Panevėžio m. sav.","LT-32","Panevėžio apskritis","LT-PN","Panevėžys County","city municipality"
"Panevėžio r. sav.","LT-33","Panevėžio apskritis","LT-PN","Panevėžys County","district municipality"
"Pasvalio r. sav.","LT-34","Panevėžio apskritis","LT-PN","Panevėžys County","district municipality"
"Rokiškio r. sav.","LT-40","Panevėžio apskritis","LT-PN","Panevėžys County","district municipality"
"Akmenės r. sav.","LT-01","Šiaulių apskritis","LT-SA","Šiauliai County","district municipality"
"Joniškio r. sav.","LT-11","Šiaulių apskritis","LT-SA","Šiauliai County","district municipality"
"Kelmės r. sav.","LT-19","Šiaulių apskritis","LT-SA","Šiauliai County","district municipality"
"Pakruojo r. sav.","LT-30","Šiaulių apskritis","LT-SA","Šiauliai County","district municipality"
"Radviliškio r. sav.","LT-37","Šiaulių apskritis","LT-SA","Šiauliai County","district municipality"
"Šiaulių r. sav.","LT-44","Šiaulių apskritis","LT-SA","Šiauliai County","district municipality"
"Šiaulių m. sav.","LT-43","Šiaulių apskritis","LT-SA","Šiauliai County","city municipality"
"Jurbarko r. sav.","LT-12","Tauragės apskritis","LT-TA","Tauragė County","district municipality"
"Pagėgių sav.","LT-29","Tauragės apskritis","LT-TA","Tauragė County","municipality"
"Šilalės r. sav.","LT-45","Tauragės apskritis","LT-TA","Tauragė County","district municipality"
"Tauragės r. sav.","LT-50","Tauragės apskritis","LT-TA","Tauragė County","district municipality"
"Mažeikių r. sav.","LT-26","Telšių apskritis","LT-TE","Telšiai County","district municipality"
"Plungės r. sav.","LT-35","Telšių apskritis","LT-TE","Telšiai County","district municipality"
"Rietavo sav.","LT-39","Telšių apskritis","LT-TE","Telšiai County","municipality"
"Telšių r. sav.","LT-51","Telšių apskritis","LT-TE","Telšiai County","district municipality"
"Anykščių r. sav.","LT-04","Utenos apskritis","LT-UT","Utena County","district municipality"
"Ignalinos r. sav.","LT-09","Utenos apskritis","LT-UT","Utena County","district municipality"
"Molėtų r. sav.","LT-27","Utenos apskritis","LT-UT","Utena County","district municipality"
"Utenos r. sav.","LT-54","Utenos apskritis","LT-UT","Utena County","district municipality"
"Visagino sav.","LT-59","Utenos apskritis","LT-UT","Utena County","municipality"
"Zarasų r. sav.","LT-60","Utenos apskritis","LT-UT","Utena County","district municipality"
"Elektrėnų sav.","LT-08","Vilniaus apskritis","LT-VL","Vilnius County","municipality"
"Šalčininkų r. sav.","LT-42","Vilniaus apskritis","LT-VL","Vilnius County","district municipality"
"Širvintų r. sav.","LT-47","Vilniaus apskritis","LT-VL","Vilnius County","district municipality"
"Švenčionių r. sav.","LT-49","Vilniaus apskritis","LT-VL","Vilnius County","district municipality"
"Trakų r. sav.","LT-52","Vilniaus apskritis","LT-VL","Vilnius County","district municipality"
"Ukmergės r. sav.","LT-53","Vilniaus apskritis","LT-VL","Vilnius County","district municipality"
"Vilniaus m. sav.","LT-57","Vilniaus apskritis","LT-VL","Vilnius County","city municipality"
"Vilniaus r. sav.","LT-58","Vilniaus apskritis","LT-VL","Vilnius County","district municipality"
"Unknown",NA,"Unknown",NA,NA,NA
